QUESTION,ANSWER
"```markdown
 A Generative AI Engineer is building a Generative AI system that suggests the best matched employee team member to newly scoped projects. The team member is selected from a very large team. The match should be based upon project date availability and how well their employee profile matches the project scope. Both the employee profile and project scope are unstructured text.
How should the Generative Al Engineer architect their system?
A. Create a tool for finding available team members given project dates. Embed all project scopes into a vector store, perform a retrieval using team member profiles to find the best team member.
B. Create a tool for finding team member availability given project dates, and another tool that uses an LLM to extract keywords from project scopes. Iterate through available team members’ profiles and perform keyword matching to find the best available team member.
C. Create a tool to find available team members given project dates. Create a second tool that can calculate a similarity score for a combination of team member profile and the project scope. Iterate through the team members and rank by best score to select a team member.
D. Create a tool for finding available team members given project dates. Embed team profiles into a vector store and use the project scope and filtering to perform retrieval to find the available best matched team members.

[https://www.examtopics.com/discussions/databricks/view/150015-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150015-exam-certified-generative-ai-engineer-associate-topic-1/)","D. Create a tool for finding available team members given project dates. Embed team profiles into a vector store and use the project scope and filtering to perform retrieval to find the available best matched team members.

Explanation:

*   **Why D is correct:** Embedding team profiles into a vector store allows for efficient similarity searches against the project scope. Given the ""very large team,"" this approach scales much better than iterating through all team members. Filtering by availability *before* the vector search improves efficiency.
*   **Why A is incorrect:** Embedding project scopes and using team member profiles for retrieval is less efficient because the number of projects is likely smaller than the number of team members, so you'd rather embed the larger of the 2, being team members in this scenario.
*   **Why B is incorrect:** Keyword matching is less effective than semantic similarity search (using embeddings) for unstructured text. Iterating through all available team members also doesn't scale well.
*   **Why C is incorrect:** Iterating through all team members to calculate similarity scores, as suggested by option C, does not scale well, especially given the ""very large team"".

```"
"[https://www.examtopics.com/discussions/databricks/view/150066-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150066-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer has a provisioned throughput model serving endpoint as part of a RAG application and would like to monitor the serving endpoint’s incoming requests and outgoing responses. The current approach is to include a micro-service in between the endpoint and the user interface to write logs to a remote server.

Which Databricks feature should they use instead which will perform the same task?

A. Vector Search
B. Lakeview
C. DBSQL
D. Inference Tables","D. Inference Tables are designed to store and manage prediction results, making them ideal for logging inferencing results, request data, response data, and other related information into Delta tables for monitoring purposes. Vector Search is for similarity search, Lakeview is for creating dashboards, and DBSQL is for querying data; none of these directly address logging incoming requests and outgoing responses from a serving endpoint."
"[Exam Page](https://www.examtopics.com/discussions/databricks/view/150114-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer is building a system which will answer questions on latest stock news articles. Which will NOT help with ensuring the outputs are relevant to financial news?

A. Implement a comprehensive guardrail framework that includes policies for content filters tailored to the finance sector.
B. Increase the compute to improve processing speed of questions to allow greater relevancy analysis
C. Implement a profanity filter to screen out offensive language.
D. Incorporate manual reviews to correct any problematic outputs prior to sending to the users","B. Increasing compute will improve processing speed, but not the relevancy of the answers. Relevancy depends on data sources, retrieval methods, and filtering mechanisms, not processing speed.

*   **Why B is correct:** Increasing compute power primarily affects processing speed, not the relevance of the information.
*   **Why A is wrong:** A guardrail framework tailored to finance can filter content and ensure relevance.
*   **Why C is wrong:** A profanity filter, while improving the quality of the output, doesn't directly ensure relevance to financial news, but it does assist by filtering out items that are not.
*   **Why D is wrong:** Manual reviews directly address relevance by identifying and correcting irrelevant outputs."
"**** [https://www.examtopics.com/discussions/databricks/view/150144-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150144-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer has been asked to build an LLM-based question-answering application. The application should take into account new documents that are frequently published. The engineer wants to build this application with the least cost and least development effort and have it operate at the lowest cost possible.

Which combination of chaining components and configuration meets these requirements?

A. For the application a prompt, a retriever, and an LLM are required. The retriever output is inserted into the prompt which is given to the LLM to generate answers.
B. The LLM needs to be frequently with the new documents in order to provide most up-to-date answers.
C. For the question-answering application, prompt engineering and an LLM are required to generate answers.
D. For the application a prompt, an agent and a fine-tuned LLM are required. The agent is used by the LLM to retrieve relevant content that is inserted into the prompt which is given to the LLM to generate answers.

**","**

A is the correct answer. A prompt, a retriever, and an LLM are the best combination. The retriever retrieves information from new documents and inserts it into the prompt, which is then passed to the LLM. This provides up-to-date information while minimizing cost and development effort.

*   **Why A is correct:** It outlines an efficient architecture leveraging retrieval augmented generation (RAG). The retriever efficiently pulls relevant context from the new documents, and this context is injected into the prompt given to the LLM. This provides up-to-date answers without retraining the LLM.
*   **Why B is incorrect:** It describes the update frequency of LLM, but lacks a description of the actual application architecture.
*   **Why C is incorrect:** It only mentions prompt engineering and LLM, and doesn't explain how to handle updates for new documents.
*   **Why D is incorrect:** While agents can be useful, they add complexity and cost. Fine-tuning is also more costly than using a retriever to provide context."
"[https://www.examtopics.com/discussions/databricks/view/150265-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150265-exam-certified-generative-ai-engineer-associate-topic-1/)

What is an effective method to preprocess prompts using custom code before sending them to an LLM?

A. Directly modify the LLM’s internal architecture to include preprocessing steps
B. It is better not to introduce custom code to preprocess prompts as the LLM has not been trained with examples of the preprocessed prompts
C. Rather than preprocessing prompts, it’s more effective to postprocess the LLM outputs to align the outputs to desired outcomes
D. Write a MLflow PyFunc model that has a separate function to process the prompts","D. Writing an MLflow PyFunc model with a separate function to process prompts allows for systematic and flexible preprocessing, which can improve the LLM's performance by providing optimized prompts.

*   **Why D is correct:** This method provides a structured and manageable way to preprocess prompts, allowing for experimentation and optimization without altering the LLM itself.
*   **Why A is wrong:** Modifying the LLM's internal architecture is generally not feasible or recommended, as it's complex and could destabilize the model.
*   **Why B is wrong:** Preprocessing prompts with custom code can be beneficial if done correctly, as it can improve the quality of the input to the LLM.
*   **Why C is wrong:** While postprocessing outputs is also useful, preprocessing prompts can prevent undesirable outputs in the first place by providing the LLM with better inputs."
"[https://www.examtopics.com/discussions/databricks/view/150273-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150273-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer has already trained an LLM on Databricks and it is now ready to be deployed.

Which of the following steps correctly outlines the easiest process for deploying a model on Databricks?

A. Log the model as a pickle object, upload the object to Unity Catalog Volume, register it to Unity Catalog using MLflow, and start a serving endpoint
B. Log the model using MLflow during training, directly register the model to Unity Catalog using the MLflow API, and start a serving endpoint
C. Save the model along with its dependencies in a local directory, build the Docker image, and run the Docker container
D. Wrap the LLM’s prediction function into a Flask application and serve using Gunicorn","B. Logging the model using MLflow during training, directly registering the model to Unity Catalog using the MLflow API, and starting a serving endpoint is the correct answer because it represents the most efficient and straightforward approach for deploying a model within Databricks. MLflow streamlines the model management process.

*   **Why A is wrong:** Pickling and uploading to Unity Catalog Volumes adds unnecessary steps compared to direct registration via MLflow.
*   **Why C is wrong:** Building a Docker image and running a container is a more complex deployment method than leveraging MLflow's built-in capabilities.
*   **Why D is wrong:** Wrapping the model in a Flask application and serving with Gunicorn is another more complex deployment approach compared to using MLflow's serving endpoints."
"[https://www.examtopics.com/discussions/databricks/view/150267-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150267-exam-certified-generative-ai-engineer-associate-topic-1/)

Which indicator should be considered to evaluate the safety of the LLM outputs when qualitatively assessing LLM responses for a translation use case?

A. The ability to generate responses in code
B. The similarity to the previous language
C. The latency of the response and the length of text generated
D. The accuracy and relevance of the responses","D. The accuracy and relevance of the responses. This is the most appropriate choice. Assessing the safety of an LLM's output necessitates evaluating the accuracy and relevance of its responses. The other options don't directly address safety; code generation (A) isn't inherently a safety concern, similarity to the previous language (B) doesn't guarantee safety, and latency and length (C) are performance metrics, not safety indicators."
"**** [https://www.examtopics.com/discussions/databricks/view/150271-exam-certified-generative-ai-engineer-associate-topic-1/](https://www.examtopics.com/discussions/databricks/view/150271-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer has successfully ingested unstructured documents and chunked them by document sections. They would like to store the chunks in a Vector Search index. The current format of the dataframe has two columns: (i) original document file name (ii) an array of text chunks for each document.

What is the most performant way to store this dataframe?

A. Split the data into train and test set, create a unique identifier for each document, then save to a Delta table
B. Flatten the dataframe to one chunk per row, create a unique identifier for each row, and save to a Delta table
C. First create a unique identifier for each document, then save to a Delta table
D. Store each chunk as an independent JSON file in Unity Catalog Volume. For each JSON file, the key is the document section name and the value is the array of text chunks for that section

**","**

B. Flatten the dataframe to one chunk per row, create a unique identifier for each row, and save to a Delta table

*   **Why this is correct:** Flattening the dataframe to one chunk per row and creating a unique identifier for each row maximizes search performance and maintains a manageable structure for the data when storing it in a vector search index.

*   **Why other options are wrong:**
    *   A: Splitting into train and test sets is irrelevant for storing chunks in a Vector Search Index.
    *   C: Creating an identifier per document and not per chunk will hinder searchability, as each chunk needs to be individually searchable.
    *   D: Storing chunks as individual JSON files is less performant and harder to manage than using a Delta table."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/150269-exam-certified-generative-ai-engineer-associate-topic-1/)

After changing the response generating LLM in a RAG pipeline from GPT-4 to a model with a shorter context length that the company self-hosts, the Generative AI Engineer is getting the following error:
![Image](https://img.examtopics.com/certified-generative-ai-engineer-associate/image8.png)
**The image reads: ""This model's maximum context length is 2048 tokens, however you requested 2462 tokens (2242 in the messages, 220 in the completion). Please reduce the length of the messages or completion.""**

What TWO solutions should the Generative AI Engineer implement without changing the response generating model? (Choose two.)

A. Use a smaller embedding model to generate embeddings
B. Reduce the maximum output tokens of the new model
C. Decrease the chunk size of embedded documents
D. Reduce the number of records retrieved from the vector database
E. Retrain the response generating model using ALiBi","CD

*   **C: Decrease the chunk size of embedded documents:** This reduces the number of tokens from each document included in the prompt, helping to stay within the model's context length.
*   **D: Reduce the number of records retrieved from the vector database:** This limits the amount of information passed to the model, also helping to avoid exceeding the token limit.

**Why are other options wrong?**

*   **A:** Using a smaller embedding model affects the quality of the embeddings, but not the number of tokens in the prompt. This will not solve the error message of token overflow.
*   **B:** Reducing the maximum output tokens limits the response length but doesn't address the token overflow issue caused by the input prompt.
*   **E:** Retraining the model using ALiBi is a more complex solution and is unnecessary to solve the immediate problem of exceeding the context length."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/150266-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer is developing an LLM application that users can use to generate personalized birthday poems based on their names. Which technique would be most effective in safeguarding the application, given the potential for malicious user inputs?

A. Implement a safety filter that detects any harmful inputs and ask the LLM to respond that it is unable to assist
B. Reduce the time that the users can interact with the LLM
C. Ask the LLM to remind the user that the input is malicious but continue the conversation with the user
D. Increase the amount of compute that powers the LLM to process input faster","A. **Implement a safety filter that detects any harmful inputs and ask the LLM to respond that it is unable to assist** is the most effective technique.

*   **Why A is correct:** Safety filters are designed to identify and block potentially harmful inputs, preventing the LLM from processing or generating harmful content. Responding with a message that assistance is unavailable prevents further interaction with the malicious input.
*   **Why B is wrong:** Reducing interaction time doesn't prevent the processing of an initial malicious input, it only limits the duration of the potential harm.
*   **Why C is wrong:** Reminding the user that the input is malicious while continuing the conversation can still lead to the generation of inappropriate content and may escalate the situation.
*   **Why D is wrong:** Increasing compute power doesn't address the issue of malicious input; it only allows the LLM to process information faster, including malicious inputs."
"[ExamTopics Databricks Question](https://www.examtopics.com/discussions/databricks/view/150270-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative Al Engineer is building a RAG application that answers questions about internal documents for the company SnoPen AI.
The source documents may contain a significant amount of irrelevant content, such as advertisements, sports news, or entertainment news, or content about other companies.
Which approach is advisable when building a RAG application to achieve this goal of filtering irrelevant information?

A. Keep all articles because the RAG application needs to understand non-company content to avoid answering questions about them.
B. Include in the system prompt that any information it sees will be about SnoPenAI, even if no data filtering is not performed.
C. Include in the system prompt that the application is not supposed to answer any questions unrelated to SnoPen AI.
D. Consolidate all SnoPen AI related documents into a single chunk in the vector database.","The correct answer is C. Including in the system prompt that the application is not supposed to answer any questions unrelated to SnoPen AI effectively filters out irrelevant information by instructing the model to only address queries pertinent to the specified company.

*   **Why C is correct:** This approach directly addresses the problem of irrelevant information by explicitly instructing the model to disregard questions outside the scope of SnoPen AI.
*   **Why A is incorrect:** Keeping all articles, including irrelevant ones, would not filter out irrelevant information and could confuse the model.
*   **Why B is incorrect:** Simply stating that the information is about SnoPen AI without data filtering is insufficient, as the model will still be exposed to and potentially influenced by the irrelevant content.
*   **Why D is incorrect:** Consolidating all SnoPen AI documents into a single chunk might help with retrieving relevant information but doesn't prevent the model from answering questions about irrelevant topics if asked. Also very large chunks may exceed the models context window."
"[ExamTopics URL](https://www.examtopics.com/discussions/databricks/view/150274-exam-certified-generative-ai-engineer-associate-topic-1/)

A Generative AI Engineer developed an LLM application using the provisioned throughput Foundation Model API. Now that the application is ready to be deployed, they realize their volume of requests are not sufficiently high enough to create their own provisioned throughput endpoint. They want to choose a strategy that ensures the best cost-effectiveness for their application.
What strategy should the Generative AI Engineer use?

A. Switch to using External Models instead
B. Deploy the model using pay-per-token throughput as it comes with cost guarantees
C. Change to a model with a fewer number of parameters in order to reduce hardware constraint issues
D. Throttle the incoming batch of requests manually to avoid rate limiting issues","**B. Deploy the model using pay-per-token throughput as it comes with cost guarantees** is the best strategy.  Since the request volume is low, paying only for the tokens used is the most cost-effective approach.

*   **Why B is correct:** Pay-per-token ensures you only pay for what you use, maximizing cost-effectiveness when request volume is low compared to provisioned throughput.
*   **Why the other options are wrong:**
    *   **A:** Switching to External Models doesn't directly address cost-effectiveness related to request volume. It introduces a different model type.
    *   **C:** Changing the model parameters might reduce hardware requirements, but it doesn't guarantee cost savings based on actual usage and could impact model performance.
    *   **D:** Manually throttling requests addresses rate limiting but doesn't impact the underlying cost structure. It doesn't make the usage more cost-effective."
